RegionName,StateName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"El Paso, TX",TX,96265.20621,94010.33283,91887.46392,94214.68023,97828.65692,107752.9093,115762.1037,132153.6838,140680.3204,132793.3351,130594.1221,128542.2791,126787.1763,122687.1496,122693.403,123391.7654,126520.3629,130552.3416,133215.5889,136689.4686,141077.4182,155016.8551,178260.7268,201693.8967,213603.1716
"Allentown, PA",PA,114263.2507,122551.7542,129855.1859,140537.492,157334.5622,177091.2519,204731.1518,220689.1073,220000.2959,208502.0858,196578.3119,191307.7634,178062.8168,173980.2532,177037.4048,181061.9226,185607.7494,190251.6019,198552.8427,207426.5168,216171.4234,242164.1627,272085.0299,297211.6086,316614.0758
"Oxnard, CA",CA,269407.5338,300344.8544,329616.367,385444.4545,465269.7926,577741.5122,658341.8524,654260.3317,569784.7197,462971.764,440572.5138,440657.3318,405934.4768,412553.5007,484981.7898,514642.7997,548024.643,577350.0316,612942.7855,627358.5703,635849.9878,701050.0455,796451.7923,825953.2227,869091.9668
"Columbia, SC",SC,109142.5704,114409.7712,117750.1232,120301.6804,124686.0446,130315.7024,137076.3735,143690.322,146692.063,142761.5035,141751.021,138944.7129,131791.6493,129514.2525,131282.8198,132182.7351,137577.6366,144016.8151,149933.9681,156878.2293,165835.3827,181103.8902,208512.8685,235661.0474,243925.2667
"North Port, FL",FL,131433.4761,139929.6073,155425.82,172936.1564,193962.5434,231034.9574,306225.8095,307527.5967,249837.3979,199505.342,172539.6525,165219.5831,156867.9771,171157.928,198540.3578,216009.5311,240445.7756,256657.0972,266227.1708,277674.8579,284168.5493,311044.195,403294.2499,472483.8725,472543.4354
"Charleston, SC",SC,133418.1173,144633.4445,154649.633,160970.1775,170011.0751,188133.2309,213568.5722,234274.1633,231886.1564,214121.7876,195478.633,186733.4738,171816.6345,185429.471,199549.9574,212102.0183,232313.1632,244796.4417,260972.4353,270906.8193,280030.16,304356.627,362401.8163,404562.1378,426729.4827
"Greensboro, NC",NC,109332.6231,113479.2919,116997.3363,118857.7107,121104.4144,124866.0744,129529.3781,133650.8367,136153.064,133131.8277,127480.3251,123569.3026,117569.8844,120344.004,124692.792,127362.4105,132598.4794,139830.7326,147675.1122,157877.0632,169029.3567,190256.456,214946.4162,237942.459,249550.7107
"Stockton, CA",CA,161081.9215,182571.4666,219878.9863,242581.9573,274996.5997,345640.9708,431324.9146,430435.887,326142.794,193642.5449,177791.0049,175342.5011,158376.0071,178426.9335,235785.8422,265325.1714,293755.3889,321420.9694,353756.95,378797.9016,392227.2815,435843.7893,519645.4816,524924.5991,530901.6487
"Cape Coral, FL",FL,121549.7715,129787.8941,141926.1796,159009.2665,178393.1318,210639.4925,287353.3092,300769.3089,234580.9016,165777.8837,132631.9492,125632.9074,126262.7199,143474.9905,166765.1083,183801.5362,208988.1255,225365.8371,234161.9581,240850.6891,245063.0301,267738.1864,352879.9278,406326.9255,407037.7082
"Boise City, ID",ID,,144663.0907,149805.1133,152701.7079,156774.072,161926.5412,185231.5586,205049.0088,205054.7747,182430.1827,157193.205,137807.0111,131118.8497,152421.0821,174643.3329,183483.1781,198776.4056,218851.0238,241211.3109,279120.8033,309849.5317,380730.2285,490008.2141,466202.0855,462713.5891
"Colorado Springs, CO",CO,162219.8796,171811.2927,187032.3187,192550.0778,198414.5165,205837.8385,218470.852,224664.8578,225633.0293,211792.0405,212921.9696,205932.2667,200158.3286,209331.3623,218869.2174,227933.4452,244086.5487,264886.6581,289024.0768,314226.7915,335334.6123,373064.749,446039.8374,456461.0143,455906.719
"Little Rock, AR",AR,102975.5745,106848.9053,110678.9678,115116.6692,121083.3897,128721.5757,137814.2272,,145914.0136,144806.7776,144495.7151,143468.1446,140543.1731,141676.5636,143359.4171,146341.0008,150768.7279,150732.6543,155057.8117,157244.4959,162261.9948,175047.9237,195557.1256,208053.5253,212154.9144
"Lakeland, FL",FL,90764.90925,94893.88718,99734.77005,105016.2209,113500.9432,128813.1991,165460.9438,185340.5086,172886.5224,143564.5714,119670.9419,104701.991,95434.08657,103270.9141,120911.9523,132499.5311,143664.4324,156934.9544,171259.1602,187782.7394,199522.0116,221121.0856,273141.6444,314966.3819,314911.119
"Akron, OH",OH,104560.4591,108767.9583,112544.3489,116322.7028,121210.1651,124303.269,127133.265,128678.3017,126124.9169,122444.6755,118157.3306,114379.8983,107773.3701,107703.9871,112325.7486,114350.3324,120239.0968,125318.8586,132792.1662,140424.3387,147470.1754,164441.9882,178423.0602,192398.9089,204111.8731
